index,adc,desired_current_thirds_ma,actual_current_thirds_ma
538,749,-1200,-463
539,743,-1200,-269
540,740,-1200,-1024
541,734,-1200,331
542,734,-1200,-2101
543,725,-1200,428
544,715,-1200,-2223
545,708,-1200,371
546,708,-1200,-1327
547,717,-1200,435
548,703,-1200,-1985
549,705,-1200,215
550,699,-1200,-1749
551,706,-1200,59
552,702,-1200,-1324
553,701,-1200,575
554,695,-1200,-1761
555,692,-1200,822
556,687,-1200,-1925
557,687,-1200,-372
558,687,-1200,-327
559,697,-1200,-901
560,689,-1200,486
561,667,-1200,-2056
562,667,-1200,-395
563,660,-1200,-413
564,655,-1200,-463
565,653,-1200,-873
566,631,-1200,241
567,650,-1200,-1618
568,648,-1200,720
569,638,-1200,-2355
570,645,-1200,-74
571,639,-1200,-927
572,647,-1200,-227
573,642,-1200,-1041
574,639,-1200,466
575,627,-1200,-1652
576,630,-1200,832
577,625,-1200,-1926
578,625,-1200,-127
579,625,-1200,-905
580,607,-1200,-150
581,610,-1200,-1172
582,609,-1200,695
583,591,-1200,-1931
584,600,-1200,858
585,599,-1200,-2115
586,602,-1200,-109
587,597,-1200,-937
588,599,-1200,-265
589,589,-1200,-932
590,587,-1200,57
591,585,-1200,-950
592,586,-1200,37
593,583,-1200,-1303
594,580,-1200,459
595,580,-1200,-1954
596,579,-1200,729
597,579,-1200,-2832
598,577,-1200,956
599,568,-1200,-2028
600,581,-1200,980
601,573,-1200,-2456
602,571,-1200,-5
603,571,-1200,-742
604,570,-1200,-437
605,567,-1200,-630
606,567,-1200,-296
607,564,-1200,-849
608,566,-1200,2
609,565,-1200,-1294
610,553,-1200,-249
611,556,-1200,-458
612,556,-1200,-1274
613,549,-1200,1242
614,554,-1200,-2574
615,548,-1200,165
616,545,-1200,-1179
617,558,-1200,-140
618,542,-1200,-1188
619,533,-1200,281
620,542,-1200,-1386
621,540,-1200,737
622,540,-1200,-2342
623,537,-1200,892
624,527,-1200,-2602
625,538,-1200,310
626,539,-1200,-2120
627,538,-1200,985
628,533,-1200,-1699
629,533,-1200,1300
630,531,-1200,-2159
631,528,-1200,-136
632,530,-1200,-634
633,525,-1200,-1176
634,526,-1200,1089
635,524,-1200,-2215
636,524,-1200,188
637,523,-1200,-1430
638,524,-1200,413
639,517,-1200,-1084
640,517,-1200,-331
641,518,-1200,-398
642,515,-1200,-1371
643,506,-1200,871
644,517,-1200,89
645,512,-1200,-2739
646,514,-1200,900
647,514,-1200,-1540
648,512,-1200,490
649,513,-1200,-1477
650,513,-1200,1051
651,508,-1200,-2096
652,507,-1200,883
653,507,-1200,-2240
654,508,-1200,807
655,509,-1200,-2532
656,507,-1200,1226
657,513,-1200,-1394
658,503,-1200,771
659,500,-1200,-2148
660,501,-1200,313
661,497,-1200,-1614
662,503,-1200,466
663,500,-1200,-2290
664,496,-1200,1848
665,500,-1200,-1219
666,499,-1200,44
667,503,-1200,-1269
668,497,-1200,-688
669,497,-1200,301
670,493,-1200,-2202
671,495,-1200,2012
672,495,-1200,-1757
673,494,-1200,318
674,498,-1200,-1885
675,489,-1200,1627
676,492,-1200,-1178
677,490,-1200,-636
678,493,-1200,6
679,414,-1200,-2384
680,493,-1200,1517
681,493,-1200,-963
682,493,-1200,-1107
683,491,-1200,522
684,490,-1200,-1634
685,492,-1200,491
686,493,-1200,-1485
687,493,-1200,578
688,487,-1200,-1980
689,494,-1200,620
690,489,-1200,-1858
691,487,-1200,806
692,493,-1200,-677
693,491,-1200,-1771
694,491,-1200,1158
695,492,-1200,-2022
696,493,-1200,1346
697,494,-1200,-732
698,490,-1200,-1575
699,493,-1200,867
700,496,-1200,-2298
701,487,-1200,1705
702,499,-1200,-1186
703,492,-1200,-542
704,492,-1200,-647
705,489,-1200,-1163
706,491,-1200,-20
707,489,-1200,-1555
708,492,-1200,833
709,491,-1200,-1875
710,491,-1200,472
711,491,-1200,-1887
712,491,-1200,837
713,493,-1200,-735
714,493,-1200,-1118
715,495,-1200,-288
716,495,-1200,-1646
717,493,-1200,598
718,497,-1200,-1167
719,492,-1200,-625
720,492,-1200,-605
721,508,-1200,-1134
722,492,-1200,-128
723,493,-1200,-1508
724,495,-1200,599
725,491,-1200,-1784
726,493,-1200,199
727,491,-1200,-1783
728,491,-1200,806
729,493,-1200,-731
730,493,-1200,-1559
731,488,-1200,506
732,492,-1200,-1988
733,491,-1200,1222
734,493,-1200,-790
735,492,-1200,-1452
736,492,-1200,423
737,489,-1200,-1018
738,491,-1200,-648
739,490,-1200,-945
740,497,-1200,-576
741,491,-1200,-1048
742,493,-1200,-651
743,496,-1200,-783
744,492,-1200,-1035
745,493,-1200,-423
746,494,-1200,-1085
747,496,-1200,-788
748,498,-1200,-489
749,499,-1200,-1342
750,501,-1200,-83
751,500,-1200,-1786
752,507,-1200,568
753,531,-1200,-1885
754,504,-1200,989
755,508,-1200,-750
756,507,-1200,-1506
757,512,-1200,575
758,507,-1200,-1002
759,512,-1200,-982
760,506,-1200,-351
761,513,-1200,-1801
762,512,-1200,807
763,532,-1200,-785
764,519,-1200,-1472
765,514,-1200,386
766,517,-1200,-1076
767,519,-1200,-877
768,521,-1200,-588
769,521,-1200,-1282
770,523,-1200,-129
771,518,-1200,-1473
772,525,-1200,426
773,530,-1200,-1408
774,529,-1200,-734
775,528,-1200,-389
776,529,-1200,-1768
777,535,-1200,1137
778,537,-1200,-1194
779,536,-1200,-830
780,541,-1200,-584
781,573,-1200,-1304
782,536,-1200,-448
783,549,-1200,-1214
784,547,-1200,-564
785,548,-1200,-1295
786,545,-1200,-159
787,528,-1200,-1272
788,550,-1200,-303
789,549,-1200,-1493
790,549,-1200,-499
791,554,-1200,-786
792,553,-1200,-1272
793,559,-1200,147
794,561,-1200,-1764
795,564,-1200,-23
796,567,-1200,-1629
797,568,-1200,120
798,579,-1200,-1638
799,573,-1200,389
800,573,-1200,-935
801,572,-1200,-1037
802,573,-1200,-484
803,573,-1200,-1341
804,579,-1200,-32
805,577,-1200,-1484
806,580,-1200,325
807,578,-1200,-1481
808,583,-1200,-294
809,579,-1200,-1626
810,581,-1200,257
811,583,-1200,-788
812,586,-1200,-1063
813,588,-1200,-654
814,596,-1200,-1222
815,596,-1200,-264
816,596,-1200,-1366
817,599,-1200,3
818,599,-1200,-1550
819,607,-1200,-329
820,606,-1200,-1459
821,605,-1200,-204
822,609,-1200,-1603
823,615,-1200,362
824,616,-1200,-788
825,619,-1200,-1185
826,622,-1200,-405
827,645,-1200,-1357
828,626,-1200,-68
829,627,-1200,-1291
830,632,-1200,-22
831,629,-1200,-1468
832,635,-1200,-67
833,642,-1200,-1282
834,644,-1200,-443
835,643,-1200,-1209
836,647,-1200,-370
837,655,-1200,-1457
838,649,-1200,282
839,654,-1200,-1216
840,649,-1200,-519
841,658,-1200,-1242
842,661,-1200,-506
843,665,-1200,-1219
844,669,-1200,-220
845,671,-1200,-1340
846,675,-1200,166
847,677,-1200,-1309
848,677,-1200,-377
849,687,-1200,-1555
850,687,-1200,143
851,687,-1200,-1318
852,700,-1200,21
853,695,-1200,-1005
854,698,-1200,-869
855,709,-1200,-780
856,702,-1200,-1064
857,704,-1200,-474
858,703,-1200,-1479
859,710,-1200,502
860,709,-1200,-1041
861,706,-1200,-957
862,709,-1200,-686
863,709,-1200,-1120
864,711,-1200,-663
865,720,-1200,-1232
866,723,-1200,-451
867,731,-1200,-1390
868,720,-1200,-3
869,733,-1200,-1020
870,739,-1200,-721
871,746,-1200,-1055
872,750,-1200,-734
873,754,-1200,-1107
874,754,-1200,-641
875,759,-1200,-1313
876,762,-1200,-49
877,764,-1200,-1019
878,760,-1200,-772
879,763,-1200,-1021
880,767,-1200,-572
881,774,-1200,-1102
882,778,-1200,-793
883,779,-1200,-1035
884,782,-1200,-519
885,784,-1200,-1198
886,785,-1200,-330
887,789,-1200,-1186
888,792,-1200,-467
889,791,-1200,-1279
890,795,-1200,-282
891,780,-1200,-1257
892,804,-1200,-237
893,810,-1200,-986
894,821,-1200,-803
895,829,-1200,-996
896,831,-1200,-717
897,828,-1200,-1208
898,826,-1200,-428
899,832,-1200,-1201
900,835,-1200,-335
901,842,-1200,-998
902,848,-1200,-772
903,829,-1200,-1074
904,838,-1200,-555
905,831,-1200,-1244
906,864,-1200,-328
907,863,-1200,-1182
908,862,-1200,-308
909,866,-1200,-839
910,867,-1200,-951
911,874,-1200,-842
912,874,-1200,-855
913,874,-1200,-984
914,883,-1200,-834
915,881,-1200,-1009
916,881,-1200,-667
917,889,-1200,-1114
918,887,-1200,-389
919,897,-1200,-1084
920,906,-1200,-590
921,901,-1200,-1054
922,909,-1200,-720
923,909,-1200,-1084
924,921,-1200,-462
925,925,-1200,-799
926,936,-1200,-1050
927,937,-1200,-680
928,938,-1200,-1051
929,938,-1200,-505
930,941,-1200,-936
931,944,-1200,-823
932,943,-1200,-870
933,951,-1200,-1046
934,950,-1200,-549
935,955,-1200,-923
936,959,-1200,-807
937,965,-1200,-955
938,970,-1200,-724
939,976,-1200,-953
940,980,-1200,-734
941,985,-1200,-836
942,983,-1200,-999
943,995,-1200,-752
