time_ms,raw,filtered
45044,-424598,-424500
45056,-424524,-424503
45067,-424550,-424509
45079,-424574,-424518
45090,-424551,-424523
45101,-424532,-424525
45113,-424450,-424516
45124,-424457,-424509
45136,-424615,-424523
45147,-424745,-424551
45159,-424678,-424567
45170,-424502,-424559
45182,-424513,-424554
45193,-424615,-424562
45205,-424674,-424576
45216,-424763,-424600
45227,-424602,-424601
45239,-424600,-424601
45250,-424471,-424585
45262,-424381,-424560
45273,-424547,-424559
45285,-424681,-424575
45296,-424659,-424586
45308,-424670,-424597
45319,-424650,-424604
45331,-424595,-424603
45342,-424677,-424613
45353,-424847,-424643
45365,-424711,-424652
45376,-424601,-424646
45388,-424691,-424652
45399,-424739,-424663
45411,-424734,-424672
45422,-424791,-424687
45434,-424818,-424704
45445,-424719,-424706
45457,-424633,-424697
45468,-424671,-424694
45479,-424738,-424700
45491,-424656,-424695
45502,-424634,-424688
45514,-424808,-424703
45525,-424812,-424717
45537,-424728,-424719
45548,-424790,-424728
45560,-424808,-424738
45571,-424813,-424748
45583,-424791,-424754
45594,-424866,-424768
45605,-424919,-424787
45617,-424850,-424795
45628,-424853,-424803
45640,-424948,-424822
45651,-424989,-424843
45663,-425001,-424863
45674,-425055,-424887
45686,-424992,-424901
45697,-424926,-424905
45709,-425119,-424932
45720,-425126,-424957
45731,-425041,-424968
45743,-424955,-424967
45754,-425037,-424976
45766,-425089,-424991
45777,-425171,-425014
45789,-425280,-425048
45800,-425331,-425084
45812,-425337,-425116
45823,-425445,-425158
45835,-425388,-425187
45846,-425356,-425209
45857,-425403,-425234
45869,-425480,-425265
45880,-425582,-425305
45892,-425624,-425345
45903,-425691,-425389
45915,-425652,-425422
45926,-425592,-425444
45938,-425744,-425482
45949,-425846,-425528
45961,-425832,-425566
45972,-425836,-425600
45983,-425876,-425635
45995,-425923,-425671
46006,-426047,-425718
46018,-426156,-425773
46029,-426333,-425843
46041,-426190,-425887
46052,-426243,-425932
46064,-426132,-425957
46075,-426087,-425974
46087,-426320,-426018
46098,-426397,-426066
46109,-426220,-426086
46121,-426142,-426093
46132,-426274,-426116
46144,-426338,-426144
46155,-426388,-426175
46167,-426432,-426208
46178,-426328,-426223
46190,-426469,-426254
46201,-426485,-426283
46213,-426402,-426298
46224,-426344,-426304
46235,-426314,-426306
46247,-426480,-426328
46258,-426629,-426366
46270,-426629,-426399
46281,-426637,-426429
46293,-426643,-426456
46304,-426646,-426480
46316,-426507,-426484
46327,-426541,-426492
46339,-426582,-426504
46350,-426647,-426522
46361,-426748,-426551
46373,-426775,-426579
46384,-426750,-426601
46396,-426811,-426628
46407,-426838,-426655
46419,-426764,-426669
46430,-426780,-426683
46442,-426839,-426703
46453,-426851,-426722
46465,-426808,-426733
46476,-426787,-426740
46487,-426809,-426749
46499,-426743,-426749
46510,-426690,-426742
46522,-426709,-426738
46533,-426832,-426750
46545,-426831,-426761
46556,-426880,-426776
46568,-426806,-426780
46579,-426691,-426769
46591,-426673,-426757
46602,-426788,-426761
46613,-426831,-426770
46625,-426896,-426786
46636,-426856,-426795
46648,-426908,-426810
46659,-426959,-426829
46671,-426896,-426838
46682,-426828,-426837
46694,-426891,-426844
46705,-426939,-426856
46717,-427003,-426875
46728,-427120,-426906
46739,-427269,-426952
46751,-427433,-427013
46762,-427474,-427071
46774,-427660,-427145
46785,-427841,-427232
46797,-427925,-427319
46808,-428078,-427414
46820,-428345,-427531
46831,-428431,-427644
46843,-428559,-427759
46854,-428715,-427879
46865,-428822,-427997
46877,-428981,-428120
46888,-428992,-428229
46900,-429143,-428344
46911,-429370,-428473
46923,-429571,-428611
46934,-429522,-428725
46946,-429541,-428827
46957,-429741,-428942
46969,-429796,-429049
46980,-429853,-429150
46991,-429910,-429245
47003,-429847,-429321
47014,-429913,-429395
47026,-429963,-429466
47037,-430003,-429534
47049,-430057,-429600
47060,-430088,-429661
47072,-430023,-429707
47083,-430040,-429749
47095,-430012,-429782
47106,-430105,-429823
47117,-430164,-429866
47129,-430287,-429919
47140,-430394,-429979
47152,-430346,-430025
47163,-430322,-430063
47175,-430363,-430101
47186,-430482,-430149
47198,-430431,-430185
47209,-430406,-430213
47221,-430293,-430223
47232,-430226,-430224
47243,-430350,-430240
47255,-430517,-430275
47266,-430609,-430317
47278,-430593,-430352
47289,-430694,-430395
47301,-430710,-430435
47312,-430766,-430477
47324,-430857,-430525
47335,-430882,-430570
47347,-430960,-430619
47358,-431023,-430670
47369,-431106,-430725
47381,-431232,-430789
47392,-431353,-430860
47404,-431425,-430931
47415,-431495,-431002
47427,-431600,-431077
47438,-431641,-431148
47450,-431685,-431216
47461,-431763,-431285
47473,-431950,-431369
47484,-431938,-431441
47495,-431902,-431499
47507,-431996,-431562
47518,-432061,-431625
47530,-432091,-431684
